date,series_id,value
1996-12-31,BAMLC0A0CM,0.6
1997-01-01,BAMLC0A0CM,NA
1997-01-02,BAMLC0A0CM,0.6
1997-01-03,BAMLC0A0CM,0.61
1997-01-06,BAMLC0A0CM,0.61
1997-01-07,BAMLC0A0CM,0.61
1997-01-08,BAMLC0A0CM,0.6
1997-01-09,BAMLC0A0CM,0.62
1997-01-10,BAMLC0A0CM,0.73
1997-01-13,BAMLC0A0CM,0.61
1997-01-14,BAMLC0A0CM,0.61
1997-01-15,BAMLC0A0CM,0.61
1997-01-16,BAMLC0A0CM,0.6
1997-01-17,BAMLC0A0CM,0.6
1997-01-20,BAMLC0A0CM,0.6
1997-01-21,BAMLC0A0CM,0.61
1997-01-22,BAMLC0A0CM,0.6
1997-01-23,BAMLC0A0CM,0.6
1997-01-24,BAMLC0A0CM,0.6
1997-01-27,BAMLC0A0CM,0.6
1997-01-28,BAMLC0A0CM,0.6
1997-01-29,BAMLC0A0CM,0.6
1997-01-30,BAMLC0A0CM,0.6
1997-01-31,BAMLC0A0CM,0.61
1997-02-03,BAMLC0A0CM,0.61
1997-02-04,BAMLC0A0CM,0.61
1997-02-05,BAMLC0A0CM,0.6
1997-02-06,BAMLC0A0CM,0.6
1997-02-07,BAMLC0A0CM,0.61
1997-02-10,BAMLC0A0CM,0.6
1997-02-11,BAMLC0A0CM,0.6
1997-02-12,BAMLC0A0CM,0.6
1997-02-13,BAMLC0A0CM,0.6
1997-02-14,BAMLC0A0CM,0.59
1997-02-17,BAMLC0A0CM,NA
1997-02-18,BAMLC0A0CM,0.59
1997-02-19,BAMLC0A0CM,0.6
1997-02-20,BAMLC0A0CM,0.59
1997-02-21,BAMLC0A0CM,0.59
1997-02-24,BAMLC0A0CM,0.59
1997-02-25,BAMLC0A0CM,0.59
1997-02-26,BAMLC0A0CM,0.59
1997-02-27,BAMLC0A0CM,0.59
1997-02-28,BAMLC0A0CM,0.59
1997-03-03,BAMLC0A0CM,0.57
1997-03-04,BAMLC0A0CM,0.56
1997-03-05,BAMLC0A0CM,0.56
1997-03-06,BAMLC0A0CM,0.56
1997-03-07,BAMLC0A0CM,0.57
1997-03-10,BAMLC0A0CM,0.56
1997-03-11,BAMLC0A0CM,0.56
1997-03-12,BAMLC0A0CM,0.57
1997-03-13,BAMLC0A0CM,0.57
1997-03-14,BAMLC0A0CM,0.57
1997-03-17,BAMLC0A0CM,0.57
1997-03-18,BAMLC0A0CM,0.57
1997-03-19,BAMLC0A0CM,0.56
1997-03-20,BAMLC0A0CM,0.57
1997-03-21,BAMLC0A0CM,0.57
1997-03-24,BAMLC0A0CM,0.56
1997-03-25,BAMLC0A0CM,0.57
1997-03-26,BAMLC0A0CM,0.56
1997-03-27,BAMLC0A0CM,0.56
1997-03-28,BAMLC0A0CM,NA
1997-03-31,BAMLC0A0CM,0.57
1997-04-01,BAMLC0A0CM,0.58
1997-04-02,BAMLC0A0CM,0.58
1997-04-03,BAMLC0A0CM,0.58
1997-04-04,BAMLC0A0CM,0.58
1997-04-07,BAMLC0A0CM,0.59
1997-04-08,BAMLC0A0CM,0.59
1997-04-09,BAMLC0A0CM,0.58
1997-04-10,BAMLC0A0CM,0.58
1997-04-11,BAMLC0A0CM,0.58
1997-04-14,BAMLC0A0CM,0.58
1997-04-15,BAMLC0A0CM,0.58
1997-04-16,BAMLC0A0CM,0.58
1997-04-17,BAMLC0A0CM,0.58
1997-04-18,BAMLC0A0CM,0.58
1997-04-21,BAMLC0A0CM,0.58
1997-04-22,BAMLC0A0CM,0.6
1997-04-23,BAMLC0A0CM,0.6
1997-04-24,BAMLC0A0CM,0.59
1997-04-25,BAMLC0A0CM,0.59
1997-04-28,BAMLC0A0CM,0.6
1997-04-29,BAMLC0A0CM,0.61
1997-04-30,BAMLC0A0CM,0.59
1997-05-01,BAMLC0A0CM,0.59
1997-05-02,BAMLC0A0CM,0.59
1997-05-05,BAMLC0A0CM,0.59
1997-05-06,BAMLC0A0CM,0.59
1997-05-07,BAMLC0A0CM,0.59
1997-05-08,BAMLC0A0CM,0.59
1997-05-09,BAMLC0A0CM,0.59
1997-05-12,BAMLC0A0CM,0.59
1997-05-13,BAMLC0A0CM,0.59
1997-05-14,BAMLC0A0CM,0.57
1997-05-15,BAMLC0A0CM,0.59
1997-05-16,BAMLC0A0CM,0.58
1997-05-19,BAMLC0A0CM,0.59
1997-05-20,BAMLC0A0CM,0.59
1997-05-21,BAMLC0A0CM,0.59
1997-05-22,BAMLC0A0CM,0.58
1997-05-23,BAMLC0A0CM,0.59
1997-05-26,BAMLC0A0CM,NA
1997-05-27,BAMLC0A0CM,0.59
1997-05-28,BAMLC0A0CM,0.59
1997-05-29,BAMLC0A0CM,0.59
1997-05-30,BAMLC0A0CM,0.6
1997-05-31,BAMLC0A0CM,0.61
1997-06-02,BAMLC0A0CM,0.6
1997-06-03,BAMLC0A0CM,0.59
1997-06-04,BAMLC0A0CM,0.59
1997-06-05,BAMLC0A0CM,0.59
1997-06-06,BAMLC0A0CM,0.59
1997-06-09,BAMLC0A0CM,0.58
1997-06-10,BAMLC0A0CM,0.58
1997-06-11,BAMLC0A0CM,0.58
1997-06-12,BAMLC0A0CM,0.58
1997-06-13,BAMLC0A0CM,0.57
1997-06-16,BAMLC0A0CM,0.57
1997-06-17,BAMLC0A0CM,0.57
1997-06-18,BAMLC0A0CM,0.57
1997-06-19,BAMLC0A0CM,0.57
1997-06-20,BAMLC0A0CM,0.57
1997-06-23,BAMLC0A0CM,0.57
1997-06-24,BAMLC0A0CM,0.57
1997-06-25,BAMLC0A0CM,0.57
1997-06-26,BAMLC0A0CM,0.57
1997-06-27,BAMLC0A0CM,0.57
1997-06-30,BAMLC0A0CM,0.58
1997-07-01,BAMLC0A0CM,0.58
1997-07-02,BAMLC0A0CM,0.57
1997-07-03,BAMLC0A0CM,0.58
1997-07-04,BAMLC0A0CM,NA
1997-07-07,BAMLC0A0CM,0.57
1997-07-08,BAMLC0A0CM,0.57
1997-07-09,BAMLC0A0CM,0.57
1997-07-10,BAMLC0A0CM,0.57
1997-07-11,BAMLC0A0CM,0.57
1997-07-14,BAMLC0A0CM,0.56
1997-07-15,BAMLC0A0CM,0.57
1997-07-16,BAMLC0A0CM,0.57
1997-07-17,BAMLC0A0CM,0.57
1997-07-18,BAMLC0A0CM,0.56
1997-07-21,BAMLC0A0CM,0.56
1997-07-22,BAMLC0A0CM,0.57
1997-07-23,BAMLC0A0CM,0.55
1997-07-24,BAMLC0A0CM,0.56
1997-07-25,BAMLC0A0CM,0.56
1997-07-28,BAMLC0A0CM,0.56
1997-07-29,BAMLC0A0CM,0.55
1997-07-30,BAMLC0A0CM,0.55
1997-07-31,BAMLC0A0CM,0.56
1997-08-01,BAMLC0A0CM,0.56
1997-08-04,BAMLC0A0CM,0.56
1997-08-05,BAMLC0A0CM,0.56
1997-08-06,BAMLC0A0CM,0.57
1997-08-07,BAMLC0A0CM,0.55
1997-08-08,BAMLC0A0CM,0.55
1997-08-11,BAMLC0A0CM,0.56
1997-08-12,BAMLC0A0CM,0.56
1997-08-13,BAMLC0A0CM,0.57
1997-08-14,BAMLC0A0CM,0.57
1997-08-15,BAMLC0A0CM,0.57
1997-08-18,BAMLC0A0CM,0.57
1997-08-19,BAMLC0A0CM,0.57
1997-08-20,BAMLC0A0CM,0.57
1997-08-21,BAMLC0A0CM,0.57
1997-08-22,BAMLC0A0CM,0.56
1997-08-25,BAMLC0A0CM,0.57
1997-08-26,BAMLC0A0CM,0.57
1997-08-27,BAMLC0A0CM,0.57
1997-08-28,BAMLC0A0CM,0.58
1997-08-29,BAMLC0A0CM,0.57
1997-08-31,BAMLC0A0CM,0.57
1997-09-01,BAMLC0A0CM,NA
1997-09-02,BAMLC0A0CM,0.58
1997-09-03,BAMLC0A0CM,0.58
1997-09-04,BAMLC0A0CM,0.57
1997-09-05,BAMLC0A0CM,0.58
1997-09-08,BAMLC0A0CM,0.58
1997-09-09,BAMLC0A0CM,0.58
1997-09-10,BAMLC0A0CM,0.58
1997-09-11,BAMLC0A0CM,0.58
1997-09-12,BAMLC0A0CM,0.59
1997-09-15,BAMLC0A0CM,0.58
1997-09-16,BAMLC0A0CM,0.58
1997-09-17,BAMLC0A0CM,0.58
1997-09-18,BAMLC0A0CM,0.57
1997-09-19,BAMLC0A0CM,0.57
1997-09-22,BAMLC0A0CM,0.57
1997-09-23,BAMLC0A0CM,0.57
1997-09-24,BAMLC0A0CM,0.57
1997-09-25,BAMLC0A0CM,0.57
1997-09-26,BAMLC0A0CM,0.57
1997-09-29,BAMLC0A0CM,0.57
1997-09-30,BAMLC0A0CM,0.54
1997-10-01,BAMLC0A0CM,0.55
1997-10-02,BAMLC0A0CM,0.54
1997-10-03,BAMLC0A0CM,0.53
1997-10-06,BAMLC0A0CM,0.55
1997-10-07,BAMLC0A0CM,0.54
1997-10-08,BAMLC0A0CM,0.54
1997-10-09,BAMLC0A0CM,0.54
1997-10-10,BAMLC0A0CM,0.64
1997-10-13,BAMLC0A0CM,0.64
1997-10-14,BAMLC0A0CM,0.54
1997-10-15,BAMLC0A0CM,0.54
1997-10-16,BAMLC0A0CM,0.54
1997-10-17,BAMLC0A0CM,0.55
1997-10-20,BAMLC0A0CM,0.55
1997-10-21,BAMLC0A0CM,0.55
1997-10-22,BAMLC0A0CM,0.55
1997-10-23,BAMLC0A0CM,0.57
1997-10-24,BAMLC0A0CM,0.57
1997-10-27,BAMLC0A0CM,0.6
1997-10-28,BAMLC0A0CM,0.59
1997-10-29,BAMLC0A0CM,0.59
1997-10-30,BAMLC0A0CM,0.59
1997-10-31,BAMLC0A0CM,0.67
1997-11-03,BAMLC0A0CM,0.68
1997-11-04,BAMLC0A0CM,0.68
1997-11-05,BAMLC0A0CM,0.69
1997-11-06,BAMLC0A0CM,0.7
1997-11-07,BAMLC0A0CM,0.69
1997-11-10,BAMLC0A0CM,0.69
1997-11-11,BAMLC0A0CM,0.69
1997-11-12,BAMLC0A0CM,0.69
1997-11-13,BAMLC0A0CM,0.7
1997-11-14,BAMLC0A0CM,0.7
1997-11-17,BAMLC0A0CM,0.7
1997-11-18,BAMLC0A0CM,0.71
1997-11-19,BAMLC0A0CM,0.7
1997-11-20,BAMLC0A0CM,0.71
1997-11-21,BAMLC0A0CM,0.7
1997-11-24,BAMLC0A0CM,0.71
1997-11-25,BAMLC0A0CM,0.71
1997-11-26,BAMLC0A0CM,0.71
1997-11-27,BAMLC0A0CM,0.71
1997-11-28,BAMLC0A0CM,0.72
1997-11-30,BAMLC0A0CM,0.72
1997-12-01,BAMLC0A0CM,0.72
1997-12-02,BAMLC0A0CM,0.72
1997-12-03,BAMLC0A0CM,0.72
1997-12-04,BAMLC0A0CM,0.72
1997-12-05,BAMLC0A0CM,0.72
1997-12-08,BAMLC0A0CM,0.73
1997-12-09,BAMLC0A0CM,0.73
1997-12-10,BAMLC0A0CM,0.73
1997-12-11,BAMLC0A0CM,0.72
1997-12-12,BAMLC0A0CM,0.73
1997-12-15,BAMLC0A0CM,0.75
