date,series_id,value
1947-01-01,GDP,243.164
1947-04-01,GDP,245.968
1947-07-01,GDP,249.585
1947-10-01,GDP,259.745
1948-01-01,GDP,265.742
1948-04-01,GDP,272.567
1948-07-01,GDP,279.196
1948-10-01,GDP,280.366
1949-01-01,GDP,275.034
1949-04-01,GDP,271.351
1949-07-01,GDP,272.889
1949-10-01,GDP,270.627
1950-01-01,GDP,280.828
1950-04-01,GDP,290.383
1950-07-01,GDP,308.153
1950-10-01,GDP,319.945
1951-01-01,GDP,336
1951-04-01,GDP,344.09
1951-07-01,GDP,351.385
1951-10-01,GDP,356.178
1952-01-01,GDP,359.82
1952-04-01,GDP,361.03
1952-07-01,GDP,367.701
1952-10-01,GDP,380.812
1953-01-01,GDP,387.98
1953-04-01,GDP,391.749
1953-07-01,GDP,391.171
1953-10-01,GDP,385.97
1954-01-01,GDP,385.345
1954-04-01,GDP,386.121
1954-07-01,GDP,390.996
1954-10-01,GDP,399.734
1955-01-01,GDP,413.073
1955-04-01,GDP,421.532
1955-07-01,GDP,430.221
1955-10-01,GDP,437.092
1956-01-01,GDP,439.746
1956-04-01,GDP,446.01
1956-07-01,GDP,451.191
1956-10-01,GDP,460.463
1957-01-01,GDP,469.779
1957-04-01,GDP,472.025
1957-07-01,GDP,479.49
1957-10-01,GDP,474.864
1958-01-01,GDP,467.54
1958-04-01,GDP,471.978
1958-07-01,GDP,485.841
1958-10-01,GDP,499.555
1959-01-01,GDP,510.33
1959-04-01,GDP,522.653
1959-07-01,GDP,525.034
1959-10-01,GDP,528.6
1960-01-01,GDP,542.648
1960-04-01,GDP,541.08
1960-07-01,GDP,545.604
1960-10-01,GDP,540.197
1961-01-01,GDP,545.018
1961-04-01,GDP,555.545
1961-07-01,GDP,567.664
1961-10-01,GDP,580.612
1962-01-01,GDP,594.013
1962-04-01,GDP,600.366
1962-07-01,GDP,609.027
1962-10-01,GDP,612.28
1963-01-01,GDP,621.672
1963-04-01,GDP,629.752
1963-07-01,GDP,644.444
1963-10-01,GDP,653.938
1964-01-01,GDP,669.822
1964-04-01,GDP,678.674
1964-07-01,GDP,692.031
1964-10-01,GDP,697.319
1965-01-01,GDP,717.79
1965-04-01,GDP,730.191
1965-07-01,GDP,749.323
1965-10-01,GDP,771.857
1966-01-01,GDP,795.734
1966-04-01,GDP,804.981
1966-07-01,GDP,819.638
1966-10-01,GDP,833.302
1967-01-01,GDP,844.17
1967-04-01,GDP,848.983
1967-07-01,GDP,865.233
1967-10-01,GDP,881.439
1968-01-01,GDP,909.387
1968-04-01,GDP,934.344
1968-07-01,GDP,950.825
1968-10-01,GDP,968.03
1969-01-01,GDP,993.337
1969-04-01,GDP,1009.02
1969-07-01,GDP,1029.956
1969-10-01,GDP,1038.147
1970-01-01,GDP,1051.2
1970-04-01,GDP,1067.375
1970-07-01,GDP,1086.059
1970-10-01,GDP,1088.608
1971-01-01,GDP,1135.156
1971-04-01,GDP,1156.271
1971-07-01,GDP,1177.675
1971-10-01,GDP,1190.297
1972-01-01,GDP,1230.609
1972-04-01,GDP,1266.369
1972-07-01,GDP,1290.566
1972-10-01,GDP,1328.904
1973-01-01,GDP,1377.49
1973-04-01,GDP,1413.887
1973-07-01,GDP,1433.838
1973-10-01,GDP,1476.289
1974-01-01,GDP,1491.209
1974-04-01,GDP,1530.056
1974-07-01,GDP,1560.026
1974-10-01,GDP,1599.679
1975-01-01,GDP,1616.116
1975-04-01,GDP,1651.853
1975-07-01,GDP,1709.82
1975-10-01,GDP,1761.831
1976-01-01,GDP,1820.487
1976-04-01,GDP,1852.332
1976-07-01,GDP,1886.558
1976-10-01,GDP,1934.273
1977-01-01,GDP,1988.648
1977-04-01,GDP,2055.909
1977-07-01,GDP,2118.473
1977-10-01,GDP,2164.27
1978-01-01,GDP,2202.76
1978-04-01,GDP,2331.633
1978-07-01,GDP,2395.053
1978-10-01,GDP,2476.949
1979-01-01,GDP,2526.61
1979-04-01,GDP,2591.247
1979-07-01,GDP,2667.565
1979-10-01,GDP,2723.883
1980-01-01,GDP,2789.842
1980-04-01,GDP,2797.352
1980-07-01,GDP,2856.483
1980-10-01,GDP,2985.557
1981-01-01,GDP,3124.206
1981-04-01,GDP,3162.532
1981-07-01,GDP,3260.609
1981-10-01,GDP,3280.818
1982-01-01,GDP,3274.302
1982-04-01,GDP,3331.972
1982-07-01,GDP,3366.322
1982-10-01,GDP,3402.561
1983-01-01,GDP,3473.413
1983-04-01,GDP,3578.848
1983-07-01,GDP,3689.179
1983-10-01,GDP,3794.706
1984-01-01,GDP,3908.054
1984-04-01,GDP,4009.601
1984-07-01,GDP,4084.25
1984-10-01,GDP,4148.551
1985-01-01,GDP,4230.168
