date,series_id,value
1959-01-01,PCEPILFE,15.501
1959-02-01,PCEPILFE,15.513
1959-03-01,PCEPILFE,15.531
1959-04-01,PCEPILFE,15.57
1959-05-01,PCEPILFE,15.589
1959-06-01,PCEPILFE,15.635
1959-07-01,PCEPILFE,15.672
1959-08-01,PCEPILFE,15.697
1959-09-01,PCEPILFE,15.738
1959-10-01,PCEPILFE,15.765
1959-11-01,PCEPILFE,15.794
1959-12-01,PCEPILFE,15.818
1960-01-01,PCEPILFE,15.822
1960-02-01,PCEPILFE,15.852
1960-03-01,PCEPILFE,15.853
1960-04-01,PCEPILFE,15.882
1960-05-01,PCEPILFE,15.908
1960-06-01,PCEPILFE,15.917
1960-07-01,PCEPILFE,15.945
1960-08-01,PCEPILFE,15.968
1960-09-01,PCEPILFE,15.981
1960-10-01,PCEPILFE,15.99
1960-11-01,PCEPILFE,16.033
1960-12-01,PCEPILFE,16.028
1961-01-01,PCEPILFE,16.032
1961-02-01,PCEPILFE,16.048
1961-03-01,PCEPILFE,16.053
1961-04-01,PCEPILFE,16.075
1961-05-01,PCEPILFE,16.096
1961-06-01,PCEPILFE,16.12
1961-07-01,PCEPILFE,16.145
1961-08-01,PCEPILFE,16.162
1961-09-01,PCEPILFE,16.194
1961-10-01,PCEPILFE,16.199
1961-11-01,PCEPILFE,16.202
1961-12-01,PCEPILFE,16.216
1962-01-01,PCEPILFE,16.235
1962-02-01,PCEPILFE,16.262
1962-03-01,PCEPILFE,16.3
1962-04-01,PCEPILFE,16.303
1962-05-01,PCEPILFE,16.326
1962-06-01,PCEPILFE,16.356
1962-07-01,PCEPILFE,16.37
1962-08-01,PCEPILFE,16.372
1962-09-01,PCEPILFE,16.404
1962-10-01,PCEPILFE,16.403
1962-11-01,PCEPILFE,16.415
1962-12-01,PCEPILFE,16.42
1963-01-01,PCEPILFE,16.451
1963-02-01,PCEPILFE,16.47
1963-03-01,PCEPILFE,16.48
1963-04-01,PCEPILFE,16.5
1963-05-01,PCEPILFE,16.53
1963-06-01,PCEPILFE,16.558
1963-07-01,PCEPILFE,16.573
1963-08-01,PCEPILFE,16.588
1963-09-01,PCEPILFE,16.618
1963-10-01,PCEPILFE,16.655
1963-11-01,PCEPILFE,16.67
1963-12-01,PCEPILFE,16.694
1964-01-01,PCEPILFE,16.717
1964-02-01,PCEPILFE,16.749
1964-03-01,PCEPILFE,16.765
1964-04-01,PCEPILFE,16.78
1964-05-01,PCEPILFE,16.794
1964-06-01,PCEPILFE,16.806
1964-07-01,PCEPILFE,16.823
1964-08-01,PCEPILFE,16.845
1964-09-01,PCEPILFE,16.852
1964-10-01,PCEPILFE,16.859
1964-11-01,PCEPILFE,16.883
1964-12-01,PCEPILFE,16.907
1965-01-01,PCEPILFE,16.93
1965-02-01,PCEPILFE,16.95
1965-03-01,PCEPILFE,16.96
1965-04-01,PCEPILFE,16.98
1965-05-01,PCEPILFE,17.011
1965-06-01,PCEPILFE,17.007
1965-07-01,PCEPILFE,17.024
1965-08-01,PCEPILFE,17.056
1965-09-01,PCEPILFE,17.076
1965-10-01,PCEPILFE,17.07
1965-11-01,PCEPILFE,17.102
1965-12-01,PCEPILFE,17.154
1966-01-01,PCEPILFE,17.159
1966-02-01,PCEPILFE,17.201
1966-03-01,PCEPILFE,17.223
1966-04-01,PCEPILFE,17.285
1966-05-01,PCEPILFE,17.331
1966-06-01,PCEPILFE,17.387
1966-07-01,PCEPILFE,17.438
1966-08-01,PCEPILFE,17.47
1966-09-01,PCEPILFE,17.524
1966-10-01,PCEPILFE,17.581
1966-11-01,PCEPILFE,17.625
1966-12-01,PCEPILFE,17.679
1967-01-01,PCEPILFE,17.695
1967-02-01,PCEPILFE,17.727
1967-03-01,PCEPILFE,17.754
1967-04-01,PCEPILFE,17.803
1967-05-01,PCEPILFE,17.842
1967-06-01,PCEPILFE,17.887
1967-07-01,PCEPILFE,17.948
1967-08-01,PCEPILFE,18.003
1967-09-01,PCEPILFE,18.067
1967-10-01,PCEPILFE,18.134
1967-11-01,PCEPILFE,18.192
1967-12-01,PCEPILFE,18.237
1968-01-01,PCEPILFE,18.318
1968-02-01,PCEPILFE,18.397
1968-03-01,PCEPILFE,18.47
1968-04-01,PCEPILFE,18.538
1968-05-01,PCEPILFE,18.608
1968-06-01,PCEPILFE,18.681
1968-07-01,PCEPILFE,18.743
1968-08-01,PCEPILFE,18.816
1968-09-01,PCEPILFE,18.892
1968-10-01,PCEPILFE,18.969
1968-11-01,PCEPILFE,19.041
1968-12-01,PCEPILFE,19.098
1969-01-01,PCEPILFE,19.17
1969-02-01,PCEPILFE,19.236
1969-03-01,PCEPILFE,19.326
1969-04-01,PCEPILFE,19.4
1969-05-01,PCEPILFE,19.478
1969-06-01,PCEPILFE,19.545
1969-07-01,PCEPILFE,19.636
1969-08-01,PCEPILFE,19.691
1969-09-01,PCEPILFE,19.77
1969-10-01,PCEPILFE,19.855
1969-11-01,PCEPILFE,19.931
1969-12-01,PCEPILFE,20.005
1970-01-01,PCEPILFE,20.071
1970-02-01,PCEPILFE,20.148
1970-03-01,PCEPILFE,20.223
1970-04-01,PCEPILFE,20.303
1970-05-01,PCEPILFE,20.375
1970-06-01,PCEPILFE,20.448
1970-07-01,PCEPILFE,20.526
1970-08-01,PCEPILFE,20.597
1970-09-01,PCEPILFE,20.683
1970-10-01,PCEPILFE,20.785
1970-11-01,PCEPILFE,20.892
1970-12-01,PCEPILFE,20.997
1971-01-01,PCEPILFE,21.08
1971-02-01,PCEPILFE,21.16
1971-03-01,PCEPILFE,21.228
1971-04-01,PCEPILFE,21.307
1971-05-01,PCEPILFE,21.4
1971-06-01,PCEPILFE,21.485
1971-07-01,PCEPILFE,21.567
1971-08-01,PCEPILFE,21.597
1971-09-01,PCEPILFE,21.633
1971-10-01,PCEPILFE,21.667
1971-11-01,PCEPILFE,21.716
