date,series_id,value
2003-02-07,RRPONTSYD,2.5
2003-02-10,RRPONTSYD,NA
2003-02-11,RRPONTSYD,NA
2003-02-12,RRPONTSYD,NA
2003-02-13,RRPONTSYD,NA
2003-02-14,RRPONTSYD,NA
2003-02-17,RRPONTSYD,NA
2003-02-18,RRPONTSYD,NA
2003-02-19,RRPONTSYD,NA
2003-02-20,RRPONTSYD,NA
2003-02-21,RRPONTSYD,NA
2003-02-24,RRPONTSYD,NA
2003-02-25,RRPONTSYD,NA
2003-02-26,RRPONTSYD,NA
2003-02-27,RRPONTSYD,NA
2003-02-28,RRPONTSYD,NA
2003-03-03,RRPONTSYD,NA
2003-03-04,RRPONTSYD,NA
2003-03-05,RRPONTSYD,NA
2003-03-06,RRPONTSYD,NA
2003-03-07,RRPONTSYD,NA
2003-03-10,RRPONTSYD,NA
2003-03-11,RRPONTSYD,NA
2003-03-12,RRPONTSYD,NA
2003-03-13,RRPONTSYD,NA
2003-03-14,RRPONTSYD,NA
2003-03-17,RRPONTSYD,NA
2003-03-18,RRPONTSYD,NA
2003-03-19,RRPONTSYD,1.25
2003-03-20,RRPONTSYD,NA
2003-03-21,RRPONTSYD,NA
2003-03-24,RRPONTSYD,NA
2003-03-25,RRPONTSYD,NA
2003-03-26,RRPONTSYD,NA
2003-03-27,RRPONTSYD,NA
2003-03-28,RRPONTSYD,NA
2003-03-31,RRPONTSYD,NA
2003-04-01,RRPONTSYD,NA
2003-04-02,RRPONTSYD,NA
2003-04-03,RRPONTSYD,NA
2003-04-04,RRPONTSYD,NA
2003-04-07,RRPONTSYD,NA
2003-04-08,RRPONTSYD,2.25
2003-04-09,RRPONTSYD,NA
2003-04-10,RRPONTSYD,NA
2003-04-11,RRPONTSYD,NA
2003-04-14,RRPONTSYD,NA
2003-04-15,RRPONTSYD,NA
2003-04-16,RRPONTSYD,NA
2003-04-17,RRPONTSYD,NA
2003-04-18,RRPONTSYD,NA
2003-04-21,RRPONTSYD,NA
2003-04-22,RRPONTSYD,NA
2003-04-23,RRPONTSYD,NA
2003-04-24,RRPONTSYD,NA
2003-04-25,RRPONTSYD,NA
2003-04-28,RRPONTSYD,NA
2003-04-29,RRPONTSYD,NA
2003-04-30,RRPONTSYD,NA
2003-05-01,RRPONTSYD,NA
2003-05-02,RRPONTSYD,NA
2003-05-05,RRPONTSYD,NA
2003-05-06,RRPONTSYD,NA
2003-05-07,RRPONTSYD,NA
2003-05-08,RRPONTSYD,NA
2003-05-09,RRPONTSYD,NA
2003-05-12,RRPONTSYD,NA
2003-05-13,RRPONTSYD,NA
2003-05-14,RRPONTSYD,NA
2003-05-15,RRPONTSYD,NA
2003-05-16,RRPONTSYD,NA
2003-05-19,RRPONTSYD,NA
2003-05-20,RRPONTSYD,NA
2003-05-21,RRPONTSYD,NA
2003-05-22,RRPONTSYD,NA
2003-05-23,RRPONTSYD,NA
2003-05-26,RRPONTSYD,NA
2003-05-27,RRPONTSYD,NA
2003-05-28,RRPONTSYD,NA
2003-05-29,RRPONTSYD,NA
2003-05-30,RRPONTSYD,NA
2003-06-02,RRPONTSYD,NA
2003-06-03,RRPONTSYD,NA
2003-06-04,RRPONTSYD,1.25
2003-06-05,RRPONTSYD,NA
